team_name,net_score,net_goal_score,overturns_total,seasons_played,avg_net_score
Fulham,14,13,39,4,3.5
Newcastle United,12,8,79,6,2.0
Brentford,11,11,52,4,2.75
Brighton & Hove Albion,11,5,79,6,1.83
Aston Villa,8,5,64,6,1.33
Manchester City,6,3,56,6,1.0
Crystal Palace,5,1,66,6,0.83
Liverpool,3,1,70,6,0.5
Nottm Forest,3,-1,30,3,1.0
Burnley,2,2,39,4,0.5
Manchester United,2,-6,81,6,0.33
Southampton,2,11,56,5,0.4
Leicester,1,1,9,1,1.0
Watford,1,1,15,2,0.5
Bournemouth,1,1,13,1,1.0
Tottenham,0,2,34,3,0.0
Everton,0,0,57,6,0.0
Tottenham Hotspur,-1,-2,40,3,-0.33
Luton,-1,-1,7,1,-1.0
Ipswich Town,-1,-2,11,1,-1.0
Sheffield United,-2,1,22,2,-1.0
Sheff United,-3,-1,13,1,-3.0
Leeds United,-3,-6,28,3,-1.0
Chelsea,-3,-4,77,6,-0.5
West Ham United,-4,-5,73,6,-0.67
Leicester City,-5,-4,55,4,-1.25
Norwich,-6,-4,16,1,-6.0
West Bromwich Albion,-6,-2,12,1,-6.0
Norwich City,-7,-2,11,1,-7.0
AFC Bournemouth,-10,-10,37,3,-3.33
Arsenal,-12,1,61,6,-2.0
Wolverhampton,-18,-18,69,6,-3.0
